,위      치,아파트명,동수,층수,세대수,인구수,건축 연도,lat,lng,연식,score
672,두류공원로83,궁전 하이츠,1,11,18,72,2002,35.8440658,128.5692134,18,20
673,두류공원로88,삼정비취,2,6,50,285,1983,35.8447492,128.5699334,37,40
674,두류공원로17길39,금오,2,5,44,208,1982,35.844331,128.56783259999997,38,40
675,명덕로236,보성상아,5,15,510,1854,1987,35.8547963,128.5953921,33,40
676,명덕로20길12,계명맨션,1,5,45,150,1980,35.856938,128.57968400000001,40,40
677,명덕로20길34,이지원빌,1,7,12,40,2014,35.8561216,128.5792762,6,10
678,명덕로64길20,금용프라임빌,1,9,18,70,2007,35.8539391,128.6047709,13,20
679,명덕로68길17,강변타운,3,15,480,1789,1994,35.8540643,128.606582,26,30
680,명덕로68길77,이천주공,6,20,576,2018,1999,35.8521189,128.6062993,21,30
681,명덕시장길96,천호,1,8,14,55,2002,35.8450706,128.5883364,18,20
682,봉덕로49,영광 아파트,1,10,16,53,2012,35.845273999999996,128.5960793,8,10
683,봉덕로134,강변 코오롱하늘채,4,20,430,609,2008,35.843867700000004,128.605321,12,20
684,양지남길57,대명 하이츠,1,7,13,51,2001,35.8506791,128.5767135,19,20
685,이천로144,청솔 한아름,1,14,20,125,2015,35.8539942,128.59881940000002,5,10
686,이천로6길57,아 진,1,5,30,114,1979,35.8430826,128.6015612,41,40
687,이천로19길68,교대역 월드메르디앙,4,21,361,1263,2006,35.8509216,128.5959267,14,20
688,이천로19길81,교대역동서프라임36.5,4,18,268,1012,2017,35.8499304,128.59641470000003,3,10
689,자유1길86,세신,1,5,28,117,1980,35.837324100000004,128.5830912,40,40
690,중앙대로114,우인 그레이스 ,1,10,16,56,2016,35.8433721,128.5910017,4,10
691,중앙대로22길70,한우 그랜드,2,5,69,262,1984,35.8425333,128.594033,36,40
692,중앙대로31길28,백작맨션,1,15,104,425,1988,35.847341,128.5890838,32,40
693,중앙대로31길79,가든맨션,3,5,110,418,1983,35.8486778,128.5864656,37,40
694,중앙대로34길45,외인,10,5,200,200,1981,35.8485932,128.5937826,39,40
