순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1302,대구광역시 남구 대명동 441-5번지,27200,10300,0,0441,0005,202008,대구광역시 남구 광덕시장북길 7-2,1,272004232024,0,7,2,397
1303,대구광역시 남구 대명동 443-18번지,27200,10300,0,0443,0018,202008,대구광역시 남구 큰골5길 32-1,1,272004232326,0,32,1,245
1304,대구광역시 남구 대명동 443-21번지,27200,10300,0,0443,0021,202008,대구광역시 남구 큰골5길 26,1,272004232326,0,26,0,105
1305,대구광역시 남구 대명동 450-1번지,27200,10300,0,0450,0001,202008,대구광역시 남구 현충로 54,1,272003144010,0,54,0,233
1306,대구광역시 남구 대명동 456-8번지,27200,10300,0,0456,0008,202008,대구광역시 남구 큰골3길 24,1,272004232324,0,24,0,140
1307,대구광역시 남구 대명동 459-13번지,27200,10300,0,0459,0013,202008,대구광역시 남구 큰골길 83,1,272004232331,0,83,0,724
1308,대구광역시 남구 대명동 459-8번지,27200,10300,0,0459,0008,202008,대구광역시 남구 큰골길 95,1,272004232331,0,95,0,163
1309,대구광역시 남구 대명동 461-9번지,27200,10300,0,0461,0009,202008,대구광역시 남구 자유6길 36,1,272004232284,0,36,0,549
1310,대구광역시 남구 대명동 463-1번지,27200,10300,0,0463,0001,202008,,1,,,,,2126
1311,대구광역시 남구 대명동 464-7번지,27200,10300,0,0464,0007,202008,대구광역시 남구 자유길 114,1,272004232285,0,114,0,1004
1312,대구광역시 남구 대명동 467-31번지,27200,10300,0,0467,0031,202008,대구광역시 남구 자유길 124,1,272004232285,0,124,0,455
1313,대구광역시 남구 대명동 468-21번지,27200,10300,0,0468,0021,202008,대구광역시 남구 자유6길 39-1,1,272004232284,0,39,1,327
1314,대구광역시 남구 대명동 468-2번지,27200,10300,0,0468,0002,202008,대구광역시 남구 자유6길 39-2,1,272004232284,0,39,2,678
1315,대구광역시 남구 대명동 471-13번지,27200,10300,0,0471,0013,202008,대구광역시 남구 큰골길 152,1,272004232331,0,152,0,374
1316,대구광역시 남구 대명동 475번지,27200,10300,0,0475,0000,202008,대구광역시 남구 현충로 2,1,272003144010,0,2,0,12345
1317,대구광역시 남구 대명동 477번지,27200,10300,0,0477,0000,202008,대구광역시 남구 현충로 20,1,272003144010,0,20,0,2511
1318,대구광역시 남구 대명동 48-18번지,27200,10300,0,0048,0018,202008,대구광역시 남구 중앙대로31길 15-5,1,272004232302,0,15,5,384
1319,대구광역시 남구 대명동 48-1번지,27200,10300,0,0048,0001,202008,대구광역시 남구 중앙대로31길 13,1,272004232302,0,13,0,93
1320,대구광역시 남구 대명동 480-21번지,27200,10300,0,0480,0021,202008,대구광역시 남구 큰골7길 30,1,272004232328,0,30,0,129
1321,대구광역시 남구 대명동 481-1번지,27200,10300,0,0481,0001,202008,대구광역시 남구 큰골6길 9,1,272004232327,0,9,0,47
1322,대구광역시 남구 대명동 483번지,27200,10300,0,0483,0000,202008,대구광역시 남구 큰골4길 41,1,272004232325,0,41,0,12377
1323,대구광역시 남구 대명동 485-14번지,27200,10300,0,0485,0014,202008,대구광역시 남구 큰골4길 19,1,272004232325,0,19,0,397
1324,대구광역시 남구 대명동 486-20번지,27200,10300,0,0486,0020,202008,대구광역시 남구 현충로6길 17-2,1,272004232359,0,17,2,327
1325,대구광역시 남구 대명동 486-28번지,27200,10300,0,0486,0028,202008,대구광역시 남구 현충로6길 17-20,1,272004232359,0,17,20,327
1326,대구광역시 남구 대명동 487-5번지,27200,10300,0,0487,0005,202008,대구광역시 남구 현충로6길 29,1,272004232359,0,29,0,175
1327,대구광역시 남구 대명동 487-6번지,27200,10300,0,0487,0006,202008,대구광역시 남구 현충로6길 27-1,1,272004232359,0,27,1,1471
1328,대구광역시 남구 대명동 488-2번지,27200,10300,0,0488,0002,202008,대구광역시 남구 현충로 53,1,272003144010,0,53,0,152
1329,대구광역시 남구 대명동 490-2번지,27200,10300,0,0490,0002,202008,대구광역시 남구 현충로 61,1,272003144010,0,61,0,397
1330,대구광역시 남구 대명동 493-25번지,27200,10300,0,0493,0025,202008,대구광역시 남구 현충로6길 9-13,1,272004232359,0,9,13,222
1331,대구광역시 남구 대명동 493-31번지,27200,10300,0,0493,0031,202008,대구광역시 남구 현충로6길 9-1,1,272004232359,0,9,1,199
1332,대구광역시 남구 대명동 496-12번지,27200,10300,0,0496,0012,202008,대구광역시 남구 큰골길 88,1,272004232331,0,88,0,187
1333,대구광역시 남구 대명동 497-15번지,27200,10300,0,0497,0015,202008,대구광역시 남구 큰골길 82,1,272004232331,0,82,0,140
1334,대구광역시 남구 대명동 498-6번지,27200,10300,0,0498,0006,202008,대구광역시 남구 현충로 46,1,272003144010,0,46,0,4599
1335,대구광역시 남구 대명동 5-21번지,27200,10300,0,0005,0021,202008,대구광역시 남구 봉덕로1길 119,1,272004232160,0,119,0,350
1336,대구광역시 남구 대명동 50-5번지,27200,10300,0,0050,0005,202008,대구광역시 남구 중앙대로31길 15-25,1,272004232302,0,15,25,479
1337,대구광역시 남구 대명동 501-1번지,27200,10300,0,0501,0001,202008,대구광역시 남구 큰골길 60,1,272004232331,0,60,0,128
1338,대구광역시 남구 대명동 501-4번지,27200,10300,0,0501,0004,202008,대구광역시 남구 현충로 43-2,1,272003144010,0,43,2,292
1339,대구광역시 남구 대명동 505번지,27200,10300,0,0505,0000,202008,대구광역시 남구 현충로 35-1,1,272003144010,0,35,1,1670
1340,대구광역시 남구 대명동 506-1번지,27200,10300,0,0506,0001,202008,대구광역시 남구 현충로 33-1,1,272003144010,0,33,1,23
1341,대구광역시 남구 대명동 507-2번지,27200,10300,0,0507,0002,202008,대구광역시 남구 현충로 25,1,272003144010,0,25,0,1086
1342,대구광역시 남구 대명동 514-1번지,27200,10300,0,0514,0001,202008,대구광역시 남구 현충로 21,1,272003144010,0,21,0,9135
1343,대구광역시 남구 대명동 516-10번지,27200,10300,0,0516,0010,202008,대구광역시 남구 앞산순환로99길 14,1,272004232239,0,14,0,444
1344,대구광역시 남구 대명동 516-1번지,27200,10300,0,0516,0001,202008,대구광역시 남구 현충로 13,1,272003144010,0,13,0,82
1345,대구광역시 남구 대명동 519번지,27200,10300,0,0519,0000,202008,대구광역시 남구 앞산순환로 477,1,272003007012,0,477,0,13908
1346,대구광역시 남구 대명동 526-23번지,27200,10300,0,0526,0023,202008,대구광역시 남구 현충로1길 26,1,272004232338,0,26,0,105
1347,대구광역시 남구 대명동 526-32번지,27200,10300,0,0526,0032,202008,대구광역시 남구 현충로1길 16,1,272004232338,0,16,0,12226
1348,대구광역시 남구 대명동 526-35번지,27200,10300,0,0526,0035,202008,대구광역시 남구 현충로1길 8,1,272004232338,0,8,0,12
1349,대구광역시 남구 대명동 528-9번지,27200,10300,0,0528,0009,202008,대구광역시 남구 현충로5길 67,1,272004232358,0,67,0,747
1350,대구광역시 남구 대명동 531-1번지,27200,10300,0,0531,0001,202008,대구광역시 남구 앞산순환로93길 33,1,272004232237,0,33,0,4727
1351,대구광역시 남구 대명동 537-2번지,27200,10300,0,0537,0002,202008,대구광역시 남구 앞산순환로93길 20-1,1,272004232237,0,20,1,233
1352,대구광역시 남구 대명동 54-4번지,27200,10300,0,0054,0004,202008,대구광역시 남구 백의2길 2,1,272004232149,0,2,0,17117
1353,대구광역시 남구 대명동 540-14번지,27200,10300,0,0540,0014,202008,대구광역시 남구 앞산순환로 473,1,272003007012,0,473,0,1611
1354,대구광역시 남구 대명동 540-15번지,27200,10300,0,0540,0015,202008,대구광역시 남구 앞산순환로 471,1,272003007012,0,471,0,245
1355,대구광역시 남구 대명동 542-1번지,27200,10300,0,0542,0001,202008,대구광역시 남구 현충로32길 5-9,1,272004232348,0,5,9,93
1356,대구광역시 남구 대명동 542-2번지,27200,10300,0,0542,0002,202008,대구광역시 남구 현충로 156,1,272003144010,0,156,0,4286
1357,대구광역시 남구 대명동 55-11번지,27200,10300,0,0055,0011,202008,대구광역시 남구 명덕시장길 109,1,272004232147,0,109,0,93
1358,대구광역시 남구 대명동 55-1번지,27200,10300,0,0055,0001,202008,대구광역시 남구 명덕시장길 119-3,1,272004232147,0,119,3,572
1359,대구광역시 남구 대명동 551-3번지,27200,10300,0,0551,0003,202008,대구광역시 남구 앞산순환로87길 46,1,272004232235,0,46,0,12
1360,대구광역시 남구 대명동 552-5번지,27200,10300,0,0552,0005,202008,대구광역시 남구 앞산순환로89길 13,1,272004232236,0,13,0,6001
1361,대구광역시 남구 대명동 552-7번지,27200,10300,0,0552,0007,202008,대구광역시 남구 앞산순환로 443,1,272003007012,0,443,0,92303
1362,대구광역시 남구 대명동 553-1번지,27200,10300,0,0553,0001,202008,대구광역시 남구 앞산순환로 435,1,272003007012,0,435,0,12515
1363,대구광역시 남구 대명동 553-7번지,27200,10300,0,0553,0007,202008,대구광역시 남구 앞산순환로87길 13,1,272004232235,0,13,0,3923
1364,대구광역시 남구 대명동 554-2번지,27200,10300,0,0554,0002,202008,대구광역시 남구 앞산순환로87길 19,1,272004232235,0,19,0,397
1365,대구광역시 남구 대명동 56-16번지,27200,10300,0,0056,0016,202008,대구광역시 남구 명덕시장길 87-8,1,272004232147,0,87,8,560
1366,대구광역시 남구 대명동 560-28번지,27200,10300,0,0560,0028,202008,대구광역시 남구 앞산순환로87길 49,1,272004232235,0,49,0,490
1367,대구광역시 남구 대명동 561-6번지,27200,10300,0,0561,0006,202008,대구광역시 남구 앞산순환로87길 63,1,272004232235,0,63,0,292
1368,대구광역시 남구 대명동 563-4번지,27200,10300,0,0563,0004,202008,대구광역시 남구 안지랑로 20-1,1,272003144008,0,20,1,385
1369,대구광역시 남구 대명동 563-5번지,27200,10300,0,0563,0005,202008,대구광역시 남구 안지랑로 20,1,272003144008,0,20,0,12
1370,대구광역시 남구 대명동 565-10번지,27200,10300,0,0565,0010,202008,대구광역시 남구 안지랑로 17-1,1,272003144008,0,17,1,1074
1371,대구광역시 남구 대명동 565-2번지,27200,10300,0,0565,0002,202008,대구광역시 남구 안지랑로 17-2,1,272003144008,0,17,2,47
1372,대구광역시 남구 대명동 567-6번지,27200,10300,0,0567,0006,202008,대구광역시 남구 안지랑로 11,1,272003144008,0,11,0,117
1373,대구광역시 남구 대명동 567-9번지,27200,10300,0,0567,0009,202008,대구광역시 남구 안지랑로 5-7,1,272003144008,0,5,7,4086
1374,대구광역시 남구 대명동 57-1번지,27200,10300,0,0057,0001,202008,대구광역시 남구 명덕시장길 87-5,1,272004232147,0,87,5,1074
1375,대구광역시 남구 대명동 57-3번지,27200,10300,0,0057,0003,202008,대구광역시 남구 명덕시장길 83,1,272004232147,0,83,0,327
1376,대구광역시 남구 대명동 574-16번지,27200,10300,0,0574,0016,202008,대구광역시 남구 안지랑로3길 32-2,1,272004232222,0,32,2,23
1377,대구광역시 남구 대명동 576-4번지,27200,10300,0,0576,0004,202008,대구광역시 남구 안지랑로5길 25,1,272004232223,0,25,0,1039
