순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
505,대구광역시 서구 비산동 1274-10번지,27170,10200,0,1274,0010,202008,대구광역시 서구 달서천로55길 29,1,271704229121,0,29,0,210
506,대구광역시 서구 비산동 1274-2번지,27170,10200,0,1274,0002,202008,대구광역시 서구 달서천로55길 31,1,271704229121,0,31,0,514
507,대구광역시 서구 비산동 1275-1번지,27170,10200,0,1275,0001,202008,대구광역시 서구 달서천로49안길 34-1,1,271704229119,0,34,1,210
508,대구광역시 서구 비산동 1275-5번지,27170,10200,0,1275,0005,202008,대구광역시 서구 서대구로62길 61,1,271704229240,0,61,0,420
509,대구광역시 서구 비산동 1278-7번지,27170,10200,0,1278,0007,202008,대구광역시 서구 서대구로62길 55,1,271704229240,0,55,0,292
510,대구광역시 서구 비산동 1279-14번지,27170,10200,0,1279,0014,202008,대구광역시 서구 서대구로62길 47,1,271704229240,0,47,0,35
511,대구광역시 서구 비산동 1279-17번지,27170,10200,0,1279,0017,202008,대구광역시 서구 서대구로62길 49,1,271704229240,0,49,0,280
512,대구광역시 서구 비산동 1279-1번지,27170,10200,0,1279,0001,202008,대구광역시 서구 달서천로49안길 20,1,271704229119,0,20,0,140
513,대구광역시 서구 비산동 1279번지,27170,10200,0,1279,0000,202008,대구광역시 서구 달서천로53길 28,1,271704229120,0,28,0,1262
514,대구광역시 서구 비산동 1280-21번지,27170,10200,0,1280,0021,202008,대구광역시 서구 달서천로53길 27,1,271704229120,0,27,0,175
515,대구광역시 서구 비산동 1281-7번지,27170,10200,0,1281,0007,202008,대구광역시 서구 서대구로62길 39-1,1,271704229240,0,39,1,222
516,대구광역시 서구 비산동 1282-23번지,27170,10200,0,1282,0023,202008,대구광역시 서구 서대구로62길 31,1,271704229240,0,31,0,163
517,대구광역시 서구 비산동 1282-24번지,27170,10200,0,1282,0024,202008,대구광역시 서구 서대구로62길 29,1,271704229240,0,29,0,199
518,대구광역시 서구 비산동 1282-25번지,27170,10200,0,1282,0025,202008,대구광역시 서구 서대구로62길 35,1,271704229240,0,35,0,152
519,대구광역시 서구 비산동 1282-26번지,27170,10200,0,1282,0026,202008,대구광역시 서구 서대구로62길 33-3,1,271704229240,0,33,3,187
520,대구광역시 서구 비산동 1284-7번지,27170,10200,0,1284,0007,202008,,1,,,,,1319
521,대구광역시 서구 비산동 1285-1번지,27170,10200,0,1285,0001,202008,대구광역시 서구 달서천로53길 31-1,1,271704229120,0,31,1,2686
522,대구광역시 서구 비산동 1287-1번지,27170,10200,0,1287,0001,202008,대구광역시 서구 달서천로53길 45,1,271704229120,0,45,0,478
523,대구광역시 서구 비산동 1295-2번지,27170,10200,0,1295,0002,202008,대구광역시 서구 달서천로49길 30-1,1,271704229118,0,30,1,210
524,대구광역시 서구 비산동 1302-6번지,27170,10200,0,1302,0006,202008,대구광역시 서구 팔달로 96,1,271703007024,0,96,0,11234
525,대구광역시 서구 비산동 1302-9번지,27170,10200,0,1302,0009,202008,대구광역시 서구 서대구로 361,1,271703143006,0,361,0,23
526,대구광역시 서구 비산동 1304-2번지,27170,10200,0,1304,0002,202008,대구광역시 서구 팔달로18길 7,1,271704229335,0,7,0,59
527,대구광역시 서구 비산동 1309-1번지,27170,10200,0,1309,0001,202008,대구광역시 서구 서대구로 352,1,271703143006,0,352,0,6479
528,대구광역시 서구 비산동 1309-5번지,27170,10200,0,1309,0005,202008,대구광역시 서구 달서천로53길 49-5,1,271704229120,0,49,5,1203
529,대구광역시 서구 비산동 1316번지,27170,10200,0,1316,0000,202008,대구광역시 서구 서대구로 330,1,271703143006,0,330,0,8792
530,대구광역시 서구 비산동 1319-3번지,27170,10200,0,1319,0003,202008,대구광역시 서구 달서천로49길 25,1,271704229118,0,25,0,607
531,대구광역시 서구 비산동 1320-11번지,27170,10200,0,1320,0011,202008,대구광역시 서구 서대구로62길 23-2,1,271704229240,0,23,2,245
532,대구광역시 서구 비산동 1325-1번지,27170,10200,0,1325,0001,202008,대구광역시 서구 달서천로41길 26,1,271704229116,0,26,0,1004
533,대구광역시 서구 비산동 1327-16번지,27170,10200,0,1327,0016,202008,대구광역시 서구 서대구로62길 15,1,271704229240,0,15,0,210
534,대구광역시 서구 비산동 1327-2번지,27170,10200,0,1327,0002,202008,대구광역시 서구 서대구로62길 7,1,271704229240,0,7,0,491
535,대구광역시 서구 비산동 1360번지,27170,10200,0,1360,0000,202008,대구광역시 서구 달서천로41길 37-4,1,271704229116,0,37,4,421
536,대구광역시 서구 비산동 1365-4번지,27170,10200,0,1365,0004,202008,대구광역시 서구 달서천로41길 21-1,1,271704229116,0,21,1,502
537,대구광역시 서구 비산동 137-3번지,27170,10200,0,0137,0003,202008,대구광역시 서구 국채보상로83길 39-7,1,271704229067,0,39,7,584
538,대구광역시 서구 비산동 1370-3번지,27170,10200,0,1370,0003,202008,대구광역시 서구 서대구로62길 3,1,271704229240,0,3,0,105
539,대구광역시 서구 비산동 1370-8번지,27170,10200,0,1370,0008,202008,대구광역시 서구 서대구로 306,1,271703143006,0,306,0,2955
540,대구광역시 서구 비산동 138-23번지,27170,10200,0,0138,0023,202008,대구광역시 서구 국채보상로81길 30-1,1,271704229065,0,30,1,478
541,대구광역시 서구 비산동 1461-1번지,27170,10200,0,1461,0001,202008,대구광역시 서구 팔달로18길 28,1,271704229335,0,28,0,128
542,대구광역시 서구 비산동 1464-1번지,27170,10200,0,1464,0001,202008,대구광역시 서구 팔달로18길 26,1,271704229335,0,26,0,619
543,대구광역시 서구 비산동 1484번지,27170,10200,0,1484,0000,202008,대구광역시 서구 서대구로63길 28-13,1,271704229241,0,28,13,5102
544,대구광역시 서구 비산동 150-9번지,27170,10200,0,0150,0009,202008,대구광역시 서구 국채보상로83길 7,1,271704229067,0,7,0,269
545,대구광역시 서구 비산동 161-18번지,27170,10200,0,0161,0018,202008,대구광역시 서구 국채보상로88길 6-5,1,271704229068,0,6,5,198
546,대구광역시 서구 비산동 161-6번지,27170,10200,0,0161,0006,202008,대구광역시 서구 국채보상로88길 2,1,271704229068,0,2,0,327
547,대구광역시 서구 비산동 1610-3번지,27170,10200,0,1610,0003,202008,대구광역시 서구 팔달로 54,1,271703007024,0,54,0,48008
548,대구광역시 서구 비산동 162-2번지,27170,10200,0,0162,0002,202008,대구광역시 서구 국채보상로88길 8-1,1,271704229068,0,8,1,292
549,대구광역시 서구 비산동 162-3번지,27170,10200,0,0162,0003,202008,대구광역시 서구 국채보상로88길 10,1,271704229068,0,10,0,234
550,대구광역시 서구 비산동 162-4번지,27170,10200,0,0162,0004,202008,대구광역시 서구 국채보상로88길 10-1,1,271704229068,0,10,1,82
551,대구광역시 서구 비산동 1627-2번지,27170,10200,0,1627,0002,202008,대구광역시 서구 서대구로63길 18-5,1,271704229241,0,18,5,607
552,대구광역시 서구 비산동 1649번지,27170,10200,0,1649,0000,202008,대구광역시 서구 서대구로 307,1,271703143006,0,307,0,9374
553,대구광역시 서구 비산동 1651-1번지,27170,10200,0,1651,0001,202008,대구광역시 서구 서대구로61길 6,1,271704229239,0,6,0,140
554,대구광역시 서구 비산동 1652-4번지,27170,10200,0,1652,0004,202008,대구광역시 서구 서대구로 315,1,271703143006,0,315,0,1791
555,대구광역시 서구 비산동 1652번지,27170,10200,0,1652,0000,202008,대구광역시 서구 서대구로61길 10,1,271704229239,0,10,0,1097
556,대구광역시 서구 비산동 1660-3번지,27170,10200,0,1660,0003,202008,대구광역시 서구 서대구로61길 20,1,271704229239,0,20,0,1179
557,대구광역시 서구 비산동 169-1번지,27170,10200,0,0169,0001,202008,대구광역시 서구 국채보상로 426,1,271703007001,0,426,0,5300
558,대구광역시 서구 비산동 171-51번지,27170,10200,0,0171,0051,202008,대구광역시 서구 국채보상로 420-9,1,271703007001,0,420,9,70
559,대구광역시 서구 비산동 171-57번지,27170,10200,0,0171,0057,202008,대구광역시 서구 달서로12길 66,1,271704229083,0,66,0,152
560,대구광역시 서구 비산동 171-74번지,27170,10200,0,0171,0074,202008,대구광역시 서구 국채보상로 420-52,1,271703007001,0,420,52,117
561,대구광역시 서구 비산동 174-21번지,27170,10200,0,0174,0021,202008,대구광역시 서구 국채보상로88길 28-1,1,271704229068,0,28,1,373
562,대구광역시 서구 비산동 174-34번지,27170,10200,0,0174,0034,202008,대구광역시 서구 국채보상로88길 32-2,1,271704229068,0,32,2,93
563,대구광역시 서구 비산동 179-1번지,27170,10200,0,0179,0001,202008,대구광역시 서구 달서로12길 63,1,271704229083,0,63,0,117
564,대구광역시 서구 비산동 180-19번지,27170,10200,0,0180,0019,202008,대구광역시 서구 달서로18길 42-3,1,271704229089,0,42,3,222
565,대구광역시 서구 비산동 181-9번지,27170,10200,0,0181,0009,202008,대구광역시 서구 달서로12길 70,1,271704229083,0,70,0,140
566,대구광역시 서구 비산동 1812번지,27170,10200,0,1812,0000,202008,대구광역시 서구 염색공단로5길 11,1,271704229253,0,11,0,3292
567,대구광역시 서구 비산동 1815-2번지,27170,10200,0,1815,0002,202008,대구광역시 서구 염색공단로5길 15,1,271704229253,0,15,0,233
568,대구광역시 서구 비산동 1821-1번지,27170,10200,0,1821,0001,202008,대구광역시 서구 염색공단로5길 25,1,271704229253,0,25,0,2065
569,대구광역시 서구 비산동 1821-2번지,27170,10200,0,1821,0002,202008,대구광역시 서구 염색공단로5길 27,1,271704229253,0,27,0,164
570,대구광역시 서구 비산동 1822번지,27170,10200,0,1822,0000,202008,대구광역시 서구 서대구로63안길 18,1,271704229242,0,18,0,747
571,대구광역시 서구 비산동 1825번지,27170,10200,0,1825,0000,202008,대구광역시 서구 서대구로63안길 15,1,271704229242,0,15,0,5230
572,대구광역시 서구 비산동 1834-12번지,27170,10200,0,1834,0012,202008,대구광역시 서구 서대구로61길 9-18,1,271704229239,0,9,18,70
