,지역,0∼4세,5∼9세,10∼14세,15∼19세,20∼24세,25∼29세,30∼34세,35∼39세,40∼44세,45∼49세,50∼54세,55∼59세,60∼64세,65∼69세,70∼74세,75∼79세,80∼84세,85∼89세,90∼94세,95∼99세,100세이상,lat,lng,지수,유아노인
67,노원동,376,318,269,385,634,788,836,789,777,915,1056,1399,1216,970,717,513,236,112,35,5,7,35.8863782,128.5798906,269.47,3289
68,산격1동,113,161,206,306,492,573,362,401,511,669,890,1071,1060,929,683,610,421,164,35,7,5,35.8928217,128.594611,594.58,3128
69,산격2동,247,383,400,560,898,830,573,635,605,947,1100,1227,995,692,468,412,250,109,39,6,1,35.9017099,128.6092204,191.94,2607
70,산격3동,132,173,194,321,1120,1247,650,471,504,608,637,668,660,535,421,327,233,96,25,7,3,35.8934609,128.6082767,330.06,1952
71,산격4동,122,202,203,302,557,720,524,502,478,603,787,834,876,673,517,396,259,108,37,2,0,35.9009525,128.6050886,377.99,2316
72,복현1동,96,102,119,276,1030,1156,561,446,368,472,605,612,596,393,284,215,141,60,15,1,1,35.8937391,128.6185537,350.16,1308
73,복현2동,921,1198,1276,1724,2166,1832,1546,1833,2060,2462,2597,2423,2103,1291,867,635,432,242,79,15,7,35.895406,128.625386,105.1,5687
74,대현동,601,724,534,659,1430,1389,1027,1277,1296,1422,1486,1520,1452,1247,916,869,531,242,86,17,16,35.8832681,128.6090269,211.08,5249
75,검단동,169,189,206,255,370,413,429,445,431,500,563,718,708,547,379,304,196,99,24,4,1,35.9162165,128.6247332,275.53,1912
76,무태조야동,1420,1771,1750,2074,1962,1652,1768,2552,2886,3708,3073,2335,2073,1573,1069,779,433,186,57,9,1,35.9213464,128.597055,83.12,7298
77,관문동,2258,2411,1638,1528,1991,2068,2795,3911,3253,3161,3008,2954,2476,1586,1084,770,430,225,59,11,4,35.9064035,128.5626977,66.1,8838
78,태전1동,684,755,764,1092,1965,1755,1415,1316,1431,1840,2099,2172,1786,1154,793,659,455,234,69,13,2,35.9240401,128.543226,153.38,4818
79,태전2동,744,967,1113,1481,2016,1723,1311,1532,1735,2318,2411,2343,1884,1257,920,700,409,171,54,16,1,35.9219392,128.544655,124.93,5239
80,구암동,1120,1736,2286,2960,3127,2255,1602,2025,2846,4284,3995,3101,2026,1096,814,777,495,226,78,14,0,35.9324688,128.569586,68.07,6356
81,관음동,388,634,704,981,1373,1143,826,858,1037,1606,1831,1759,1525,965,590,547,383,170,46,7,3,35.9442317,128.5472251,157.07,3733
82,읍내동,790,1006,1107,1528,2269,2104,1542,1595,1617,2407,2751,2760,2132,1238,840,737,504,279,63,11,6,35.9458146,128.5505587,126.7,5474
83,동천동,933,1548,2068,2540,2577,1604,1327,1675,2523,3761,3155,2116,1204,664,577,563,401,161,32,5,1,37.3412587,127.0994637,52.85,4885
84,국우동,900,1396,1533,1747,1790,1591,1249,1698,2067,2724,2388,1744,1043,725,540,526,335,160,48,11,2,35.9643066,128.5847892,61.3,4643
85,범어1동,418,981,1071,1113,1182,879,614,986,1339,1647,1606,1315,998,727,609,514,373,159,46,10,5,35.8555497,128.6220265,98.91,3842
86,범어2동,366,632,833,932,1177,1181,952,1038,1115,1446,1445,1184,1020,716,506,455,257,141,37,9,2,35.8600493,128.6312755,115.95,3121
87,범어3동,792,1188,942,1099,1143,956,803,1388,1548,1723,1483,1091,747,503,392,325,221,105,39,7,8,35.8661033,128.6177766,54.76,3580
88,범어4동,319,1222,2337,1921,1232,642,419,896,2083,2606,1740,987,741,570,476,369,236,130,40,9,1,35.8580767,128.6411916,47.22,3372
89,만촌1동,729,1226,1246,1351,1690,1313,938,1539,1739,2081,2189,1937,1646,1290,942,768,551,272,76,18,2,35.8728811,128.6469406,122.43,5874
90,만촌2동,215,334,471,764,956,952,616,611,706,1065,1146,998,876,646,468,373,282,140,36,5,2,35.8598266,128.647163,191.37,2501
91,만촌3동,398,1015,1960,2064,1645,856,511,990,1928,2664,2123,1248,931,718,535,475,295,146,38,10,2,35.8679983,128.6490428,65.79,3632
92,수성1가동,516,841,1016,1225,1285,984,703,999,1398,1871,1767,1441,1236,1058,891,772,550,305,74,29,5,35.8563544,128.6105555,155.25,5041
93,수성2.3가동,318,854,929,846,710,534,411,801,1206,1287,973,843,753,619,449,388,220,131,28,3,5,35.8547157,128.6188598,87.72,3015
94,수성4가동,348,571,600,888,1139,1006,698,857,940,1359,1537,1395,1205,890,656,569,399,215,68,15,7,35.8626037,128.6166378,185.58,3738
